2	1.352338e-01	3.062020e+00
7	5.345295e-02	1.458724e+00
12	2.184784e-02	7.695890e-01
17	1.115601e-02	4.405573e-01
22	6.474498e-03	2.668888e-01
27	3.897473e-03	1.685946e-01
32	2.257634e-03	1.100281e-01
37	1.333945e-03	7.371905e-02
42	9.575289e-04	5.048087e-02
47	6.316366e-04	3.521277e-02
52	3.667652e-04	2.495698e-02
57	2.549861e-04	1.793620e-02
62	1.806394e-04	1.305010e-02
67	1.240683e-04	9.599952e-03
72	8.508054e-05	7.132115e-03
77	7.436209e-05	5.346385e-03
82	5.932447e-05	4.040661e-03
87	3.960074e-05	3.076811e-03
92	2.438146e-05	2.359119e-03
97	2.492571e-05	1.820439e-03
102	1.529735e-05	1.413134e-03
107	1.386292e-05	1.103054e-03
112	9.327043e-06	8.654886e-04
117	8.255330e-06	6.823982e-04
122	5.263117e-06	5.405067e-04
127	5.232539e-06	4.299697e-04
132	2.909997e-06	3.434355e-04
137	2.915027e-06	2.753783e-04
